ZIP,CBSA,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
67837,99999,COPELAND,KS,0.997041420,1.000000000,1.000000000,0.997206704
67837,23780,COPELAND,KS,0.002958580,0.000000000,0.000000000,0.002793296
67838,23780,DEERFIELD,KS,1.000000000,1.000000000,1.000000000,1.000000000
67839,99999,DIGHTON,KS,0.997635934,1.000000000,1.000000000,0.997752809
67839,23780,DIGHTON,KS,0.002364066,0.000000000,0.000000000,0.002247191
67840,99999,ENGLEWOOD,KS,1.000000000,1.000000000,1.000000000,1.000000000
67841,19980,ENSIGN,KS,0.268750000,0.000000000,0.000000000,0.255952381
67841,99999,ENSIGN,KS,0.731250000,1.000000000,1.000000000,0.744047619
67842,99999,FORD,KS,0.004273504,0.000000000,0.000000000,0.003984064
67842,19980,FORD,KS,0.995726496,1.000000000,1.000000000,0.996015936
67843,99999,FORT DODGE,KS,1.000000000,0.000000000,1.000000000,1.000000000
67844,99999,FOWLER,KS,0.940476190,0.888888889,1.000000000,0.940503432
67844,19980,FOWLER,KS,0.059523810,0.111111111,0.000000000,0.059496568
67846,99999,GARDEN CITY,KS,0.001009273,0.000975610,0.000884173,0.000998214
67846,23780,GARDEN CITY,KS,0.998990727,0.999024390,0.999115827,0.999001786
67849,99999,HANSTON,KS,1.000000000,1.000000000,1.000000000,1.000000000
67850,99999,HEALY,KS,1.000000000,1.000000000,1.000000000,1.000000000
67851,23780,HOLCOMB,KS,0.995652174,1.000000000,1.000000000,0.995880536
67851,99999,HOLCOMB,KS,0.004347826,0.000000000,0.000000000,0.004119464
67853,99999,INGALLS,KS,0.952054795,0.947368421,1.000000000,0.952380952
67853,23780,INGALLS,KS,0.047945205,0.052631579,0.000000000,0.047619048
67854,99999,JETMORE,KS,1.000000000,1.000000000,1.000000000,1.000000000
67855,99999,JOHNSON,KS,1.000000000,1.000000000,1.000000000,1.000000000
67857,99999,KENDALL,KS,1.000000000,1.000000000,1.000000000,1.000000000
67859,30580,KISMET,KS,1.000000000,1.000000000,1.000000000,1.000000000
67860,99999,LAKIN,KS,0.003496503,0.000000000,0.000000000,0.003218021
67860,23780,LAKIN,KS,0.996503497,1.000000000,1.000000000,0.996781979
67861,99999,LEOTI,KS,1.000000000,1.000000000,1.000000000,1.000000000
67862,99999,MANTER,KS,1.000000000,1.000000000,1.000000000,1.000000000
67863,99999,MARIENTHAL,KS,1.000000000,1.000000000,1.000000000,1.000000000
67864,99999,MEADE,KS,1.000000000,1.000000000,1.000000000,1.000000000
67865,99999,MINNEOLA,KS,0.779475983,0.444444444,0.818181818,0.774058577
67865,19980,MINNEOLA,KS,0.220524017,0.555555556,0.181818182,0.225941423
67867,99999,MONTEZUMA,KS,1.000000000,1.000000000,1.000000000,1.000000000
67868,23780,PIERCEVILLE,KS,0.982300885,1.000000000,1.000000000,0.983739837
67868,99999,PIERCEVILLE,KS,0.017699115,0.000000000,0.000000000,0.016260163
67869,99999,PLAINS,KS,0.933634992,0.984375000,1.000000000,0.939271255
67869,30580,PLAINS,KS,0.066365008,0.015625000,0.000000000,0.060728745
67870,99999,SATANTA,KS,0.973509934,0.913043478,1.000000000,0.971742543
67870,30580,SATANTA,KS,0.026490066,0.086956522,0.000000000,0.028257457
67871,23780,SCOTT CITY,KS,0.013770757,0.006211180,0.000000000,0.012658228
67871,99999,SCOTT CITY,KS,0.986229243,0.993788820,1.000000000,0.987341772
67876,19980,SPEARVILLE,KS,0.945326279,0.937500000,1.000000000,0.945454545
67876,99999,SPEARVILLE,KS,0.054673721,0.062500000,0.000000000,0.054545455
67877,99999,SUBLETTE,KS,0.994813278,1.000000000,1.000000000,0.995247148
67877,30580,SUBLETTE,KS,0.005186722,0.000000000,0.000000000,0.004752852
67878,99999,SYRACUSE,KS,1.000000000,1.000000000,1.000000000,1.000000000
67879,99999,TRIBUNE,KS,1.000000000,1.000000000,1.000000000,1.000000000
67880,23780,ULYSSES,KS,0.001237624,0.000000000,0.000000000,0.001094990
67880,99999,ULYSSES,KS,0.998762376,1.000000000,1.000000000,0.998905010
